source_transaction_id,source_customer_id,transaction_date,amount,currency,description,status,source_system
TXN-9f54a08f3f,ERP-6ca8d7d8e7,2026-09-23,476.92,KES,USB-C Hub,completed,ERP
TXN-bac2c2058e,ERP-bc5b633176,2026-09-23,729.94,USD,Keyboard Cover,completed,ERP
TXN-e629e33328,ERP-2909679b77,2026-09-23,732.02,KES,Power Bank 20000mAh,pending,ERP
TXN-30a514db70,ERP-26bcd5e6f2,2026-09-23,670.6,KES,Monthly Plan,pending,ERP
TXN-3da30889f5,ERP-2dfca1ec11,2026-09-23,528.17,KES,Screen Protector,completed,ERP
TXN-dc5a42ed58,ERP-0d1916600d,2026-09-23,628.09,USD,Monthly Plan,pending,ERP
TXN-4f76f2e557,ERP-063f43b4b6,2026-09-23,51.02,KES,Screen Protector,completed,ERP
TXN-fbd39a545a,ERP-28259da44d,2026-09-23,680.92,EUR,Phone Case,pending,ERP
TXN-9419d69586,ERP-f3c1fc1649,2026-09-23,69592.27,KES,Keyboard Cover,completed,ERP
TXN-546356736d,ERP-db2e1c4d45,2026-09-23,,USD,Phone Case,completed,ERP
TXN-e193480fe9,ERP-d80555b578,2026-09-23,415.8,USD,Screen Protector,completed,ERP
TXN-e127f2cb6d,ERP-ae75ad7df5,2026-09-23,319.26,KES,Laptop Stand,pending,ERP
TXN-15ce4bf899,ERP-4f0d1a73dc,2026-09-23,714.24,USD,Laptop Stand,completed,ERP
TXN-301a21cd02,ERP-f1469ceb7a,2026-09-23,480.3,KES,Power Bank 20000mAh,completed,ERP
TXN-1cef25988e,ERP-12113c387d,2026-09-23,,EUR,Laptop Stand,refunded,ERP
TXN-9bac47b41a,ERP-65a6743867,2026-09-23,824.32,USD,Annual Subscription,disputed,ERP
TXN-52f0b0d26c,ERP-c881213264,2026-09-23,122.81,USD,Bluetooth Speaker,completed,ERP
TXN-ed30fa0764,ERP-0bf8f43b7d,2026-09-23,192.71,EUR,Wireless Earbuds,completed,ERP
TXN-2916cd3f85,ERP-f6ba2db5c0,2026-09-23,273.51,USD,Annual Subscription,refunded,ERP
TXN-b5f6ceb9ab,ERP-57dd0cf90f,2026-09-23,265.33,KES,USB-C Hub,completed,ERP
TXN-08a8046af6,ERP-af887e32cd,2026-09-23,620.67,KES,Cable Organizer,pending,ERP
TXN-ace12d3bba,ERP-2b63b3dc33,2026-09-23,643.92,KES,Smart Watch Band,completed,ERP
TXN-2190ccf5a2,ERP-038b4385b9,2026-10-15,249.6,KES,Smart Watch Band,pending,ERP
TXN-f819374fac,ERP-44dd54232d,2026-09-23,812.84,USD,Annual Subscription,completed,ERP
TXN-596fb0e788,ERP-063f43b4b6,2026-09-23,421.63,EUR,Power Bank 20000mAh,completed,ERP
TXN-4a64532add,ERP-ef705e9696,2026-09-23,320.36,USD,Smart Watch Band,completed,ERP
TXN-2b511e2976,ERP-aecf71a648,2026-09-23,310.18,USD,Wireless Earbuds,refunded,ERP
TXN-39b6802e02,ERP-26e7323705,2026-09-23,510.95,KES,Power Bank 20000mAh,completed,ERP
TXN-a3d6a52758,ERP-e2ee723dbd,2026-09-23,302.13,KES,Smart Watch Band,completed,ERP
TXN-2e8c81d403,ERP-0617daa491,2026-09-23,707.68,USD,Monthly Plan,completed,ERP
TXN-5d977c3883,ERP-bc5b633176,2026-09-23,779.05,KES,Wireless Earbuds,completed,ERP
TXN-9209143b6d,ERP-72f504ddea,2026-09-23,150.52,KES,Phone Case,completed,ERP
TXN-c427086dc7,ERP-abd3cf8203,2026-09-23,363.96,USD,Wireless Earbuds,completed,ERP
TXN-1ae7f61328,ERP-7d0b8f3068,2026-09-23,401.37,EUR,Smart Watch Band,completed,ERP
TXN-9d19d354b3,ERP-7fc842d15e,2026-09-23,571.66,KES,Monthly Plan,completed,ERP
TXN-86e1fe4d94,ERP-0e97b59b65,2026-09-23,,KES,Gift Card 1000,pending,ERP
TXN-8cef4d9b50,ERP-1e865830d2,2026-09-23,785.98,EUR,Keyboard Cover,pending,ERP
TXN-5a38b8b137,ERP-038b4385b9,2026-09-23,363.36,KES,Gift Card 1000,completed,ERP
TXN-21d004552c,ERP-88ed91cf8f,2026-09-23,615.21,KES,Bluetooth Speaker,completed,ERP
TXN-e4d63909d4,ERP-65a6743867,2026-09-23,-837.29,KES,Express Shipping,pending,ERP
TXN-4e1eb124a0,ERP-95acac1e4d,2026-09-23,561.47,KES,Bluetooth Speaker,completed,ERP
TXN-e8f9a24adf,ERP-a0c708891b,2026-09-23,291.14,USD,Phone Case,disputed,ERP
TXN-19c4966842,ERP-f3457f4a23,2026-09-23,305.9,USD,Keyboard Cover,refunded,ERP
TXN-679a85b1db,ERP-42ef5a2979,2026-09-23,30.12,USD,Keyboard Cover,pending,ERP
TXN-43c6642495,ERP-26e7323705,2026-09-23,647.34,USD,Keyboard Cover,completed,ERP
TXN-abd4d2c248,ERP-81fbb1bd40,2026-09-23,466.89,EUR,Bluetooth Speaker,completed,ERP
TXN-e1781a5501,ERP-94d8b906c1,2026-09-23,475.38,USD,Monthly Plan,completed,ERP
TXN-503f9a1096,ERP-f6ba2db5c0,2026-09-23,562.77,USD,Keyboard Cover,completed,ERP
TXN-c3daa37170,ERP-e0acf26d0c,2026-09-23,652.67,KES,Cable Organizer,completed,ERP
TXN-e7c27effca,ERP-72f504ddea,2026-09-23,326.58,KES,Bluetooth Speaker,disputed,ERP
TXN-e75b745dcb,ERP-db9134a1b8,2026-09-23,739.25,KES,Screen Protector,completed,ERP
TXN-1a8631778f,ERP-6d2f2e38e5,2026-09-23,501.85,EUR,Bluetooth Speaker,completed,ERP
TXN-04c04fd2ac,ERP-ef9edc7da8,2026-09-23,145.8,KES,USB-C Hub,disputed,ERP
TXN-17abc19a83,ERP-9cd682f6db,2026-09-23,256.24,USD,Cable Organizer,pending,ERP
TXN-4432cb7145,ERP-823c7484c9,2026-09-23,406.6,KES,Annual Subscription,pending,ERP
TXN-0a5898a70f,ERP-41445bd11a,2026-09-23,533.09,KES,Laptop Stand,completed,ERP
TXN-ec4960c512,ERP-2dfca1ec11,2026-09-23,231.41,USD,Express Shipping,pending,ERP
TXN-23c046af5a,ERP-3414360547,2026-09-23,208.12,USD,Express Shipping,completed,ERP
TXN-3635363f42,ERP-5c3818f8c9,2026-09-23,550.91,KES,Bluetooth Speaker,completed,ERP
TXN-46736571ad,ERP-95a35fbfbb,2026-09-23,361.61,EUR,Smart Watch Band,completed,ERP
TXN-ef25c71d81,ERP-d57d655b56,2026-09-23,665.99,KES,Power Bank 20000mAh,pending,ERP
TXN-a5d78e21f4,ERP-7758012177,2026-09-23,340.38,USD,USB-C Hub,pending,ERP
TXN-2cdb2e9aed,ERP-0bf8f43b7d,2026-09-23,217.78,USD,Phone Case,completed,ERP
TXN-4786441e48,ERP-af887e32cd,2026-09-23,189.22,KES,Smart Watch Band,completed,ERP
TXN-bcd429bb0a,ERP-5c43ced908,2026-09-23,466.15,KES,Smart Watch Band,completed,ERP
TXN-0b6ebf8fd5,ERP-5072b2ff93,2026-09-23,34.41,USD,Wireless Earbuds,pending,ERP
TXN-6d7efd1819,ERP-cbfa80ef3f,2026-09-23,768.17,USD,USB-C Hub,completed,ERP
TXN-2c189ff799,ERP-7758012177,2026-09-23,796.19,USD,Express Shipping,completed,ERP
TXN-055f64c71a,ERP-e51cc3d23d,2026-09-23,236.56,KES,Keyboard Cover,completed,ERP
TXN-de799aeae3,ERP-222ac75442,2026-09-23,595.22,KES,Cable Organizer,completed,ERP
TXN-4d6caa84f5,ERP-7fc842d15e,2026-09-23,537.48,USD,Bluetooth Speaker,completed,ERP
TXN-b1c88fae59,ERP-304db3fe27,2026-09-23,720.68,USD,Power Bank 20000mAh,pending,ERP
TXN-bfc07ea219,ERP-6ec60b87e1,2026-09-23,172.87,KES,Bluetooth Speaker,completed,ERP
TXN-d188cada8b,ERP-46fb25b424,2026-09-23,771.28,EUR,Monthly Plan,completed,ERP
TXN-dcc8cb86dd,ERP-5f5b913e98,2026-09-23,805.42,KES,Bluetooth Speaker,completed,ERP
TXN-9c565c8cbc,ERP-7a237c0b7e,2026-09-23,248.33,KES,Express Shipping,completed,ERP
TXN-5297ecb7e3,ERP-3414360547,2026-09-23,29.31,KES.,Keyboard Cover,completed,ERP
TXN-a9d44ac91e,ERP-b0c319cfb8,2026-09-23,585.39,USD,Monthly Plan,completed,ERP
TXN-aa5417d2fe,ERP-e0acf26d0c,2026-09-23,847.24,,Cable Organizer,disputed,ERP
TXN-95fb03b97e,ERP-28259da44d,2026-09-23,116.74,USD,Laptop Stand,completed,ERP
TXN-57d74d6313,ERP-823c7484c9,2026-09-23,370.83,KES,Laptop Stand,completed,ERP
TXN-47855522d5,ERP-e6048a91e7,2026-09-23,522.93,USD,Power Bank 20000mAh,completed,ERP
TXN-1eb9a99dc6,ERP-db275b8f5f,2026-09-23,49.97,KES,Wireless Earbuds,completed,ERP
TXN-d4382fefdc,ERP-106f9167a0,2026-09-23,306.26,USD,Keyboard Cover,completed,ERP
TXN-c89a01850e,ERP-5f5b913e98,2026-09-23,638.7,USD,Annual Subscription,completed,ERP
TXN-e3a9e5e161,ERP-f3c1fc1649,2026-09-23,213.0,KES,Power Bank 20000mAh,completed,ERP
TXN-11ef97a428,ERP-d1b3f2409b,2026-09-23,134.94,KES,Annual Subscription,pending,ERP
TXN-837c8eb7bc,ERP-d235b00fb5,2026-09-23,279.55,USD,Gift Card 1000,completed,ERP
TXN-1d9ecbaca7,ERP-d3c65e6bb0,2026-09-23,467.35,USD,Smart Watch Band,completed,ERP
TXN-d7dc0dd872,ERP-75789abbc8,2026-09-23,245.77,USD,Phone Case,completed,ERP
TXN-b3b5c6b04c,ERP-54374dab4d,2026-09-23,567.36,USD,Keyboard Cover,completed,ERP
TXN-3e54b09511,ERP-28259da44d,2026-09-23,523.72,KES,Wireless Earbuds,completed,ERP
TXN-e19b49d65e,ERP-0bf8f43b7d,2026-09-23,536.98,KES,Bluetooth Speaker,completed,ERP
TXN-4509199c1a,ERP-a8619634ad,2026-09-23,447.01,KES,Phone Case,completed,ERP
TXN-67de9bbaf4,ERP-41445bd11a,2026-09-23,305.36,USD,Wireless Earbuds,completed,ERP
TXN-6854572419,ERP-44dd54232d,2026-09-23,270.28,USD,Keyboard Cover,completed,ERP
TXN-5b92c9c2ac,ERP-f3fc0087c8,2026-09-23,,USD,Wireless Earbuds,completed,ERP
TXN-8c6d119b12,ERP-f3fc0087c8,2026-09-23,618.4,KES,Cable Organizer,pending,ERP
TXN-4da99053e9,ERP-4557cce138,2026-09-23,166.23,USD,USB-C Hub,completed,ERP
TXN-cf452e3edc,ERP-b3eae34b6d,2026-09-23,166.32,KES,Keyboard Cover,completed,ERP
TXN-0bcd785ac9,ERP-be51853b2f,2026-09-23,731.53,USD,Cable Organizer,completed,ERP
TXN-eb2d3da4f7,ERP-16b54e87d6,2026-09-23,722.08,USD,Screen Protector,completed,ERP
TXN-59ff7a7c8b,ERP-d57d655b56,2026-09-23,200.96,KES,Cable Organizer,completed,ERP
TXN-0d6937d84c,ERP-6489ce77ed,2026-09-23,383.83,KES,Monthly Plan,completed,ERP
TXN-f8e20f97b3,ERP-f3fc0087c8,2026-09-23,726.17,USD,Smart Watch Band,completed,ERP
TXN-4a7ee0e109,ERP-6d2f2e38e5,2026-09-23,680.79,USD,Smart Watch Band,completed,ERP
TXN-02b5dbc6b7,ERP-16b54e87d6,2026-09-23,801.88,KES,Screen Protector,completed,ERP
TXN-3fb2c93969,ERP-82be1db8d0,2026-09-23,32.01,KES,Cable Organizer,completed,ERP
TXN-ca80abc786,ERP-88ed91cf8f,2026-09-23,231.03,KES,Screen Protector,completed,ERP
TXN-93271975c5,ERP-4bab68c6ac,2026-09-23,828.59,USD,Express Shipping,completed,ERP
TXN-6d3d965420,ERP-cbfa80ef3f,2026-09-23,137.69,KES,Screen Protector,completed,ERP
TXN-ce1599baac,ERP-ef75f4faa5,2026-09-23,376.05,KES,USB-C Hub,completed,ERP
TXN-eae66ed239,ERP-16b54e87d6,2026-09-23,309.74,USD,Gift Card 1000,completed,ERP
TXN-58ae4e2aec,ERP-4b17b16b61,2026-09-23,676.44,KES,Laptop Stand,completed,ERP
TXN-4f0c76bc78,ERP-7073857e0b,2026-09-23,371.79,KES,Annual Subscription,completed,ERP
TXN-ce1b3d5261,ERP-4760f76def,2026-09-23,57223.34,USD,Express Shipping,completed,ERP
TXN-ebe7777b26,ERP-ed3c2ee0fe,2026-09-23,549.08,USD,Cable Organizer,completed,ERP
TXN-11fea21f66,ERP-1803805983,2026-09-23,76.22,KES,Monthly Plan,completed,ERP
TXN-fbbfc30620,ERP-95acac1e4d,2026-09-23,292.9,USD,Gift Card 1000,completed,ERP
TXN-d369eb7d16,ERP-7d0b8f3068,2026-09-23,716.14,KES,Phone Case,completed,ERP
TXN-d58e5eed40,ERP-8c0635153c,2026-09-23,685.55,EUR,Annual Subscription,completed,ERP
TXN-4a4f947fc9,ERP-82f0dbcc71,2026-09-23,573.21,USD,USB-C Hub,completed,ERP
TXN-8b294ecc94,ERP-af887e32cd,2026-09-23,705.03,KES,Laptop Stand,completed,ERP
TXN-48a0be5aee,ERP-b0c319cfb8,2026-09-23,741.85,USD,Keyboard Cover,completed,ERP
TXN-07b34fcf6d,ERP-d57d655b56,2026-09-23,605.92,KES,Express Shipping,completed,ERP
TXN-dc29e6c3bd,ERP-ef705e9696,2026-09-23,513.35,KES,Cable Organizer,completed,ERP
TXN-ad5652825b,ERP-1efbe132c4,2026-11-03,673.57,KES,Wireless Earbuds,completed,ERP
TXN-ef9cc98fb6,ERP-57dd0cf90f,2026-09-23,62.09,KES,Smart Watch Band,completed,ERP
TXN-63a86372b3,ERP-5b94e63558,2026-09-23,431.53,KES,Keyboard Cover,completed,ERP
TXN-21362ef8f3,ERP-b0c319cfb8,2026-09-23,291.45,KES,Keyboard Cover,completed,ERP
TXN-b07e6b2721,ERP-a167766301,2026-09-23,479.08,KES,USB-C Hub,completed,ERP
TXN-4c6e82bbad,ERP-82be1db8d0,2026-09-23,762.85,KES,Laptop Stand,refunded,ERP
TXN-4229c3c5d9,ERP-6ca8d7d8e7,2026-09-23,686.85,USD,Wireless Earbuds,completed,ERP
TXN-2a1997f47c,ERP-038b4385b9,2026-09-23,222.32,KES,Laptop Stand,completed,ERP
TXN-952459fe03,ERP-7d0b8f3068,2026-09-23,524.23,KES,Wireless Earbuds,completed,ERP
TXN-66ec423ba2,ERP-ef705e9696,2026-09-23,48.84,KES,USB-C Hub,completed,ERP
TXN-568554b457,ERP-a134bcfe0e,2026-09-23,60.31,KES,Wireless Earbuds,completed,ERP
TXN-0450188211,ERP-1803805983,2026-09-23,485.17,KES,Screen Protector,pending,ERP
TXN-a4b2e3cac9,ERP-af887e32cd,2026-09-23,817.34,XXX,Express Shipping,completed,ERP
TXN-1a79b590d7,ERP-41445bd11a,2026-09-23,714.37,KES,Annual Subscription,completed,ERP
TXN-aa12bf5fd6,ERP-5e1e80912c,2026-09-23,339.03,KES,Screen Protector,completed,ERP
TXN-d193151c08,ERP-72f504ddea,2026-09-23,541.72,EUR,Smart Watch Band,completed,ERP
TXN-7f8b4d53f2,ERP-42ef5a2979,2026-09-23,551.24,KES,Wireless Earbuds,completed,ERP
TXN-11f761e184,ERP-f3c1fc1649,2026-09-23,460.16,USD,Keyboard Cover,pending,ERP
TXN-280181497a,ERP-35e66b199d,2026-09-23,110.43,KES,Wireless Earbuds,completed,ERP
TXN-656d8d79cc,ERP-1803805983,2026-09-23,688.11,XXX,Power Bank 20000mAh,disputed,ERP
TXN-8700f693e3,ERP-1e3550a3a3,2026-09-23,485.89,KES,Annual Subscription,completed,ERP
TXN-d827033e6b,ERP-cd2402684f,2026-09-23,-224.38,USD,Screen Protector,completed,ERP
TXN-ad8d548e83,ERP-4293bc841b,2026-09-23,751.22,KES,Annual Subscription,completed,ERP
TXN-1460df7438,ERP-4b17b16b61,2026-09-23,399.27,KES.,Monthly Plan,completed,ERP
TXN-ffb265fae9,ERP-82f0dbcc71,2026-09-23,687.48,EUR,Monthly Plan,completed,ERP
TXN-c3d25070bd,ERP-26e7323705,2026-09-23,28.55,KES,Gift Card 1000,completed,ERP
TXN-f11f839250,ERP-9497e65085,2026-09-23,699.28,KES,Phone Case,completed,ERP
TXN-6937633f83,ERP-7d0b8f3068,2026-09-23,779.62,KES,Monthly Plan,pending,ERP
TXN-8d6b53099d,ERP-db9134a1b8,2026-09-23,91.04,KES,Express Shipping,completed,ERP
TXN-a1b3b96a7a,ERP-35e66b199d,2026-09-23,388.13,KES,Cable Organizer,completed,ERP
TXN-7960ad5067,ERP-14445e7958,2026-09-23,96.27,KES,Cable Organizer,completed,ERP
TXN-db05decb57,ERP-106f9167a0,2026-09-23,162.11,KES,Laptop Stand,completed,ERP
TXN-a64f9b8f36,ERP-3414360547,2026-09-23,129.56,KES,Power Bank 20000mAh,completed,ERP
TXN-1dc9d7f69d,ERP-4293bc841b,2026-09-23,730.6,KES,USB-C Hub,completed,ERP
TXN-9b95753ee8,ERP-2dfca1ec11,2026-09-23,511.8,KES,Power Bank 20000mAh,completed,ERP
TXN-df22f5234f,ERP-0617daa491,2026-09-23,782.36,USD,Keyboard Cover,completed,ERP
TXN-2c0ce9e10e,ERP-f1469ceb7a,2026-09-23,343.26,USD,Wireless Earbuds,completed,ERP
TXN-a2c2785bc5,ERP-cbfa80ef3f,2026-09-23,42.1,KES,Laptop Stand,completed,ERP
TXN-d808d09762,ERP-94d8b906c1,2026-09-23,717.23,EUR,Annual Subscription,completed,ERP
TXN-3fff7167ca,ERP-28259da44d,2026-09-23,689.02,USD,Gift Card 1000,refunded,ERP
TXN-316857247f,ERP-2eee60958c,2026-09-23,166.97,KES,Cable Organizer,completed,ERP
TXN-0ca13775aa,ERP-4760f76def,2026-09-23,672.2,KES,Gift Card 1000,completed,ERP
TXN-ad04b1dc98,ERP-6d2f2e38e5,2026-09-23,673.39,USD,Bluetooth Speaker,completed,ERP
TXN-2eb53b6d95,ERP-99df1f3ad0,2026-09-23,449.03,KES,Keyboard Cover,refunded,ERP
TXN-f9d3dd7e30,ERP-ef75f4faa5,2026-09-23,387.01,KES,Bluetooth Speaker,completed,ERP
TXN-4f31a88daf,ERP-6ca8d7d8e7,2026-09-23,254.32,KES,Wireless Earbuds,completed,ERP
TXN-132173b6c2,ERP-5c43ced908,2026-09-23,235.7,KES,Smart Watch Band,completed,ERP
TXN-7b0f5c0847,ERP-063f43b4b6,2026-09-23,787.98,KES,Wireless Earbuds,completed,ERP
TXN-d411323de6,ERP-063f43b4b6,2026-09-23,80784.71,USD,Express Shipping,completed,ERP
TXN-d621cfee56,ERP-75789abbc8,2026-09-23,699.47,USD,Annual Subscription,completed,ERP
TXN-8afab5072e,ERP-9250cc74e9,2026-09-23,202.5,USD,Keyboard Cover,completed,ERP
TXN-a2330ebda2,ERP-16b54e87d6,2026-09-23,182.1,KES,Power Bank 20000mAh,completed,ERP
TXN-af600b2dff,ERP-e0acf26d0c,2026-09-23,292.15,KES,Bluetooth Speaker,completed,ERP
TXN-2b7c39d5ab,ERP-5b94e63558,2026-09-23,134.87,EUR,Annual Subscription,completed,ERP
TXN-e08e71db86,ERP-db9134a1b8,2026-09-23,456.64,KES,Cable Organizer,completed,ERP
TXN-85a055a646,ERP-f3fc0087c8,2026-09-23,417.88,KES,Bluetooth Speaker,completed,ERP
TXN-38490f2346,ERP-5f5b913e98,2026-09-23,281.12,EUR,Phone Case,completed,ERP
TXN-8b0305864f,ERP-f1469ceb7a,2026-09-23,266.74,USD,Laptop Stand,completed,ERP
TXN-c6f134e31c,ERP-aa3308ec6d,2026-09-23,842.47,KES,Cable Organizer,pending,ERP
TXN-7104fc1e08,ERP-7758012177,2026-09-23,248.29,USD,Monthly Plan,completed,ERP
TXN-3f681af82c,ERP-94d8b906c1,2026-09-23,765.47,USD,Annual Subscription,completed,ERP
TXN-8c88fc0031,ERP-063f43b4b6,2026-09-23,750.76,KES,Phone Case,completed,ERP
TXN-294605b59b,ERP-28259da44d,2026-09-23,69.67,KES,Power Bank 20000mAh,completed,ERP
TXN-6d14518cd7,ERP-aa5569a7b8,2026-09-23,327.08,USD,Bluetooth Speaker,pending,ERP
TXN-529ee5ca68,ERP-aa5569a7b8,2026-09-23,62.66,KES,Keyboard Cover,completed,ERP
TXN-2bb3c06bcb,ERP-4760f76def,2026-09-23,109.91,USD,Annual Subscription,completed,ERP
TXN-8b0278dcd8,ERP-e5f7a145e6,2026-09-23,187.66,USD,Gift Card 1000,pending,ERP
TXN-732ecfccd7,ERP-5de73d943f,2026-09-23,8.94,USD,USB-C Hub,completed,ERP
TXN-b22661f758,ERP-14445e7958,2026-09-23,579.57,KES,Phone Case,refunded,ERP
TXN-9e42f03c4c,ERP-d80555b578,2026-09-23,277.66,USD,Screen Protector,completed,ERP
TXN-a6fa44065e,ERP-7b04792af9,2026-09-23,15.12,KES,Annual Subscription,completed,ERP
TXN-9cf0ebe3bc,ERP-5de73d943f,2026-09-23,427.14,EUR,Gift Card 1000,completed,ERP
TXN-ef4cf0771d,ERP-933fbe2566,2026-09-23,577.83,EUR,Power Bank 20000mAh,completed,ERP
TXN-b3a5751a03,ERP-8502475eb9,2026-09-23,75715.28,USD,Annual Subscription,completed,ERP
TXN-4e0737f52e,ERP-48fa610c27,2026-09-23,644.87,USD,Power Bank 20000mAh,completed,ERP
TXN-9bdb08e2c1,ERP-106f9167a0,2026-09-23,629.67,KES,Annual Subscription,completed,ERP
TXN-fc2d4c6d75,ERP-46fb25b424,2026-09-23,720.66,KES,Screen Protector,completed,ERP
TXN-0f537d97e0,ERP-038b4385b9,2026-09-23,445.64,KES,Phone Case,completed,ERP
TXN-1aa4e3813e,ERP-7758012177,2026-09-23,151.76,KES,USB-C Hub,pending,ERP
TXN-b36e23edaa,ERP-94d8b906c1,2026-09-23,516.94,KES,Annual Subscription,completed,ERP
TXN-612ce408db,ERP-6d2f2e38e5,2026-09-23,377.96,KES,Gift Card 1000,completed,ERP
TXN-4247f43ded,ERP-44dd54232d,2026-09-23,507.93,KES,Smart Watch Band,completed,ERP
TXN-a19fa17b85,ERP-6d2f2e38e5,2026-09-23,170.38,EUR,Express Shipping,completed,ERP
TXN-cd8b70bc53,ERP-99df1f3ad0,2026-09-23,329.51,KES,Phone Case,disputed,ERP
TXN-20210985f9,ERP-95a35fbfbb,2026-09-23,813.75,USD,Power Bank 20000mAh,completed,ERP
TXN-ca14ddae5f,ERP-a8619634ad,2026-09-23,209.79,KES,Annual Subscription,pending,ERP
TXN-28cf618ab4,ERP-3414360547,2026-09-23,219.87,USD,Express Shipping,refunded,ERP
TXN-ab8a5422f1,ERP-abd3cf8203,2026-09-23,443.16,KES,Express Shipping,completed,ERP
TXN-2ecca9d1ae,ERP-ec956484b5,2026-09-23,640.83,EUR,Phone Case,pending,ERP
TXN-b18ba03dd3,ERP-b0c319cfb8,2026-09-23,,KES,Keyboard Cover,completed,ERP
TXN-4d3fe6fceb,ERP-5f5b913e98,2026-09-23,154.06,KES,Keyboard Cover,completed,ERP
TXN-b2116b439f,ERP-d6378c9b54,2026-09-23,688.76,KES,Express Shipping,disputed,ERP
TXN-1ee7d34be4,ERP-728440e439,2026-11-05,110.36,KES,USB-C Hub,completed,ERP
TXN-92edd08aaf,ERP-c881213264,2026-09-23,86.83,KES,Cable Organizer,completed,ERP
TXN-41b2b98b43,ERP-ef9edc7da8,2026-09-23,318.31,USD,Express Shipping,disputed,ERP
TXN-526c883c9c,ERP-1e865830d2,2026-09-23,7.61,USD,Express Shipping,completed,ERP
TXN-0cd2d1b7c6,ERP-a8619634ad,2026-09-23,316.32,,Keyboard Cover,completed,ERP
TXN-c02bebe67b,ERP-cbfa80ef3f,2026-09-23,743.05,EUR,Annual Subscription,completed,ERP
TXN-74a0801a40,ERP-9250cc74e9,2026-09-23,838.91,USD,Monthly Plan,refunded,ERP
TXN-5477cdbfc2,ERP-dec1355c58,2026-09-23,31.83,KES,Express Shipping,completed,ERP
TXN-9129814ece,ERP-81fbb1bd40,2026-09-23,208.56,KES,Annual Subscription,completed,ERP
TXN-6b0201d1d4,ERP-d2753fd71c,2026-09-23,652.53,KES,Keyboard Cover,completed,ERP
TXN-328376f66f,ERP-1bbdfd426c,2026-09-23,741.79,EUR,Cable Organizer,completed,ERP
TXN-2845af7fe2,ERP-4293bc841b,2026-09-23,821.48,KES,Smart Watch Band,completed,ERP
